,City,Borough,Neighborhood,Latitude,Longitude
0,Tallinna linn,Kesklinna linnaosa,Raua,59.4364562,24.768514
1,Tallinna linn,Pirita linnaosa,Iru,59.4616235,24.9044609
2,Tallinna linn,Lasnamäe linnaosa,Seli,59.44421510000001,24.893329
3,Tallinna linn,Lasnamäe linnaosa,Sõjamäe,59.4245821,24.843493399999996
4,Tallinna linn,Nõmme linnaosa,Kivimäe,59.378019200000004,24.6559073
5,Tallinna linn,Lasnamäe linnaosa,Kuristiku,59.451492200000004,24.866185199999997
6,Tallinna linn,Põhja-Tallinna linnaosa,Pelguranna,59.447834,24.692225
7,Tallinna linn,Nõmme linnaosa,Hiiu,59.3834527,24.671893
8,Tallinna linn,Põhja-Tallinna linnaosa,Merimetsa,59.43418320000001,24.6954577
9,Tallinna linn,Kesklinna linnaosa,Kompassi,59.4358096,24.7609196
10,Tallinna linn,Pirita linnaosa,Mähe,59.482542,24.852122
11,Tallinna linn,Kesklinna linnaosa,Luite,59.413455500000005,24.753408
12,Tallinna linn,Mustamäe linnaosa,Sääse,59.40970600000001,24.695449
13,Tallinna linn,Lasnamäe linnaosa,Väo,59.435219,24.897147
14,Tallinna linn,Kesklinna linnaosa,Tõnismäe,59.429956000000004,24.7405576
15,Tallinna linn,Haabersti linnaosa,Haabersti,59.427789000000004,24.643465
16,Tallinna linn,Lasnamäe linnaosa,Uuslinn,59.43708,24.80329
17,Tallinna linn,Pirita linnaosa,Kloostrimetsa,59.4742718,24.864245
18,Tallinna linn,Nõmme linnaosa,Nõmme,59.379267000000006,24.694357
19,Tallinna linn,Põhja-Tallinna linnaosa,Pelgulinn,59.4407343,24.7133205
20,Tallinna linn,Pirita linnaosa,Kose,59.4580164,24.8649879
21,Tallinna linn,Lasnamäe linnaosa,Mustakivi,59.443821400000004,24.873762600000003
22,Tallinna linn,Kesklinna linnaosa,Veerenni,59.424482,24.749281
23,Tallinna linn,Haabersti linnaosa,Vismeistri,59.4382154,24.5934393
24,Tallinna linn,Põhja-Tallinna linnaosa,Sitsi,59.450859200000004,24.7011463
25,Tallinna linn,Lasnamäe linnaosa,Laagna,59.4393124,24.838082800000002
26,Tallinna linn,Lasnamäe linnaosa,Tondiraba,59.442126,24.85912
27,Tallinna linn,Pirita linnaosa,Maarjamäe,59.456162600000006,24.8293454
28,Tallinna linn,Pirita linnaosa,Lepiku,59.479635800000004,24.8863229
29,Tallinna linn,Kesklinna linnaosa,Keldrimäe,59.429803299999996,24.7678525
30,Tallinna linn,Haabersti linnaosa,Pikaliiva,59.429961999999996,24.612633
31,Tallinna linn,Nõmme linnaosa,Laagri,59.355412,24.619176
32,Tallinna linn,Kesklinna linnaosa,Sibulaküla,59.4306131,24.7546434
33,Tallinna linn,Kesklinna linnaosa,Südalinn,59.434438199999995,24.753443
34,Tallinna linn,Lasnamäe linnaosa,Pae,59.435165000000005,24.82206
35,Tallinna linn,Kesklinna linnaosa,Tatari,59.4301297,24.7480418
36,Tallinna linn,Kesklinna linnaosa,Torupilli,59.4314594,24.776553
37,Tallinna linn,Haabersti linnaosa,Õismäe,59.4380189,24.619423
38,Tallinna linn,Pirita linnaosa,Pirita,59.468293,24.834433999999998
39,Tallinna linn,Lasnamäe linnaosa,Priisle,59.4511717,24.881276999999997
40,Tallinna linn,Haabersti linnaosa,Rocca al Mare,59.43200110000001,24.650077
41,Tallinna linn,Lasnamäe linnaosa,Loopealse,59.4482853,24.838796300000002
42,Tallinna linn,Lasnamäe linnaosa,Paevälja,59.449509400000004,24.8246424
43,Tallinna linn,Kesklinna linnaosa,Maakri,59.432275,24.758874399999996
44,Tallinna linn,Mustamäe linnaosa,Siili,59.406715000000005,24.706119
45,Tallinna linn,Põhja-Tallinna linnaosa,Karjamaa,59.4519745,24.709306299999998
46,Tallinna linn,Lasnamäe linnaosa,Katleri,59.450228,24.849938100000003
47,Tallinna linn,Nõmme linnaosa,Raudalu,59.365937800000005,24.7573859
48,Tallinna linn,Lasnamäe linnaosa,Ülemiste,59.421873399999996,24.809613600000002
49,Tallinna linn,Kesklinna linnaosa,Aegna,59.5813192,24.757530810969897
50,Tallinna linn,Lasnamäe linnaosa,Kurepõllu,59.4411191,24.8164685
51,Tallinna linn,Kesklinna linnaosa,Kassisaba,59.432033200000006,24.729700199999996
52,Tallinna linn,Nõmme linnaosa,Vana-Mustamäe,59.390358,24.645816
53,Tallinna linn,Kesklinna linnaosa,Ülemistejärve,59.412831499999996,24.7645366
54,Tallinna linn,Haabersti linnaosa,Veskimetsa,59.420995999999995,24.66069
55,Tallinna linn,Mustamäe linnaosa,Mustamäe,59.405193000000004,24.672107699999998
56,Tallinna linn,Kesklinna linnaosa,Kitseküla,59.41486999999999,24.739392000000002
57,Tallinna linn,Kristiine linnaosa,Lilleküla,59.419546,24.712606
58,Tallinna linn,Mustamäe linnaosa,Kadaka,59.4127966,24.677429800000002
59,Tallinna linn,Nõmme linnaosa,Männiku,59.3747375,24.7168837
60,Tallinna linn,Kesklinna linnaosa,Mõigu,59.40652660000001,24.810784299999998
61,Tallinna linn,Kesklinna linnaosa,Juhkentali,59.425090000000004,24.769410999999998
62,Tallinna linn,Nõmme linnaosa,Rahumäe,59.38904029999999,24.708160600000003
63,Tallinna linn,Haabersti linnaosa,Mäeküla,59.39692779999999,24.6125002
64,Tallinna linn,Kesklinna linnaosa,Sadama,59.443956299999996,24.7556195
65,Tallinna linn,Kesklinna linnaosa,Kadriorg,59.438465599999994,24.791025236385103
66,Tallinna linn,Kristiine linnaosa,Järve,59.401588399999994,24.7264417
67,Tallinna linn,Kristiine linnaosa,Tondi,59.408026,24.724908
68,Tallinna linn,Haabersti linnaosa,Mustjõe,59.428602000000005,24.680108999999998
69,Tallinna linn,Haabersti linnaosa,Astangu,59.402235,24.627247
70,Tallinna linn,Nõmme linnaosa,Pääsküla,59.3677228,24.640765
71,Tallinna linn,Haabersti linnaosa,Kakumäe,59.4533711,24.5816986
72,Tallinna linn,Lasnamäe linnaosa,Sikupilli,59.4275586,24.7933117
