,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Raua,59.4364562,24.768514,Hilton Tallinn Park,59.43389223284311,24.7686767578125,Hotel
1,Raua,59.4364562,24.768514,SaltRestoran,59.4350931870378,24.773610157745146,Restaurant
2,Raua,59.4364562,24.768514,Faehlmanni kohvik,59.434708544862325,24.773159892614984,Café
3,Raua,59.4364562,24.768514,Surfhouse,59.43585335694156,24.765265056572787,Board Shop
4,Raua,59.4364562,24.768514,Bogi Hookah Place,59.43852866616041,24.77077135711869,Lounge
5,Raua,59.4364562,24.768514,La Prima Pizza,59.433727944322435,24.773543145807334,Pizza Place
6,Raua,59.4364562,24.768514,Club Virgin Striptease,59.432970163328946,24.76443886756897,Strip Club
7,Raua,59.4364562,24.768514,Olympic Park Casino,59.43364331485168,24.768546471991957,Casino
8,Raua,59.4364562,24.768514,Villa Thai,59.438050930307476,24.77443959837557,Thai Restaurant
9,Raua,59.4364562,24.768514,Pronksi Ilusalong,59.43674,24.76423,Health & Beauty Service
10,Raua,59.4364562,24.768514,Sushi Plaza,59.43711800814556,24.761862081073733,Sushi Restaurant
11,Raua,59.4364562,24.768514,Gianni Restaurant / cafe,59.43911733483514,24.764241141344314,Italian Restaurant
12,Raua,59.4364562,24.768514,Bar-buffeè Nikolay,59.4350346155237,24.76139773268317,Pie Shop
13,Raua,59.4364562,24.768514,WingStopp,59.435035,24.770289,Wings Joint
14,Raua,59.4364562,24.768514,Radio,59.434918,24.771919,Restaurant
15,Raua,59.4364562,24.768514,NOP,59.43832736615468,24.77629312034868,Café
16,Raua,59.4364562,24.768514,Anna-Bella Pulmasalong,59.43789614155255,24.76467269185953,Bridal Shop
17,Raua,59.4364562,24.768514,Kohvik Narva,59.437072,24.763234,Bakery
18,Raua,59.4364562,24.768514,Old Thomas Alcohol & Tobacco Shop,59.437352518688975,24.763898634696375,Liquor Store
19,Raua,59.4364562,24.768514,Tartar,59.43736712065377,24.760329416609938,Restaurant
20,Iru,59.4616235,24.9044609,Pärnamäe Rimi,59.462076278659204,24.905467836649596,Grocery Store
21,Iru,59.4616235,24.9044609,Pärnamäe keskus,59.46205311326626,24.90548021295716,Shopping Mall
22,Iru,59.4616235,24.9044609,Iru ämm,59.460295,24.906056,Historic Site
23,Iru,59.4616235,24.9044609,Pärnamäe Surnuaed,59.4640805220207,24.903480424489224,Hookah Bar
24,Iru,59.4616235,24.9044609,"Koertekool ""Leader""",59.46404972641213,24.897147534751923,Dog Run
25,Seli,59.44421510000001,24.893329,Ümera keskus,59.444344685247735,24.88962228221193,Department Store
26,Seli,59.44421510000001,24.893329,Hesburger,59.4458130870706,24.896646284490473,Fast Food Restaurant
27,Seli,59.44421510000001,24.893329,Rauna Bussipeatus,59.44473290491966,24.889950759143144,Bus Station
28,Seli,59.44421510000001,24.893329,Seli bussipeatus,59.44499870195379,24.896645595536008,Bus Stop
29,Seli,59.44421510000001,24.893329,Priisle bussipearus,59.44789242844709,24.89141655873599,Bus Stop
30,Sõjamäe,59.4245821,24.843493399999996,Lasnamäe Coop/Maksimarket,59.428071852851275,24.838865752386333,Supermarket
31,Sõjamäe,59.4245821,24.843493399999996,Gigant Mööbel,59.4264034342882,24.835766308500265,Furniture / Home Store
32,Sõjamäe,59.4245821,24.843493399999996,Eesti Eine As,59.42431975953832,24.84970739580397,Food
33,Sõjamäe,59.4245821,24.843493399999996,Maksi Kohvik,59.427722,24.83833,Food
34,Sõjamäe,59.4245821,24.843493399999996,Betooni bussipeatus,59.42618432076219,24.850915557128324,Bus Stop
35,Sõjamäe,59.4245821,24.843493399999996,Buss nr 55,59.426230599417835,24.850989561746882,Bus Line
36,Sõjamäe,59.4245821,24.843493399999996,bauhofi Kohvik,59.42875318059795,24.840526039383626,Café
37,Kivimäe,59.378019200000004,24.6559073,Kivimäe Jaam,59.37856883805467,24.658772952076223,Bus Station
38,Kivimäe,59.378019200000004,24.6559073,Kivimäe,59.377314615022776,24.656630334509757,Train Station
39,Kivimäe,59.378019200000004,24.6559073,Lauliku lasteaed,59.37926164303412,24.653055808562513,Playground
40,Kivimäe,59.378019200000004,24.6559073,Club Kõrvalkorter,59.375677,24.654767,Nightclub
41,Kivimäe,59.378019200000004,24.6559073,Pipi mängutuba,59.38184515270319,24.658293320474723,Theme Park
42,Kivimäe,59.378019200000004,24.6559073,Hiiu koerteplats,59.380577,24.66285,Dog Run
43,Kivimäe,59.378019200000004,24.6559073,J.V. Jannseni tn mänguväljak,59.373643,24.656454,Playground
44,Kivimäe,59.378019200000004,24.6559073,Stuudio388,59.381103404436146,24.662178535571663,Music Venue
45,Kuristiku,59.451492200000004,24.866185199999997,Läänemere Selver,59.45289725307152,24.874315018413462,Market
46,Kuristiku,59.451492200000004,24.866185199999997,MyFitness Lasnamäe Linnamäe,59.44944473828197,24.864528962659488,Gym / Fitness Center
47,Kuristiku,59.451492200000004,24.866185199999997,Buss nr 60,59.44943392769184,24.864492115501573,Bus Line
48,Kuristiku,59.451492200000004,24.866185199999997,Konsum,59.448945,24.863147,Supermarket
