,City,Borough,Neighborhood,Latitude,Longitude
0,Helsinki/Kami,15,MEILAHTI,60.1913479,24.9026643
1,Helsinki/Kami,43,HERTTONIEMI,60.1955246,25.0290632
2,Helsinki/Kami,10,SÖRNÄINEN,60.1838848,24.9644087
3,Helsinki/Kami,55,ÖSTERSUNDOM,60.25960365,25.1870084785404
4,Helsinki/Kami,21,HERMANNI,60.1966243,24.9709346
5,Helsinki/Kami,30,MUNKKINIEMI,60.1990937,24.8743585
6,Helsinki/Kami,22,VALLILA,60.1961671,24.9567103
7,Helsinki/Kami,Aluemeri,ALUEMERI,59.9992928,25.020177966644
8,Helsinki/Kami,07,ULLANLINNA,60.1587146,24.949404
9,Helsinki/Kami,58,KARHUSAARI,60.251099,25.218480
10,Helsinki/Kami,16,RUSKEASUO,60.2048026,24.9056207
11,Helsinki/Kami,34,PAKILA,60.243545,24.9399631
12,Helsinki/Kami,47,MELLUNKYLÄ,60.23596475,25.0892178510239
13,Helsinki/Kami,27,VANHAKAUPUNKI,60.2141157,24.9791849
14,Helsinki/Kami,35,TUOMARINKYLÄ,60.2572811,24.9680161
15,Helsinki/Kami,42,KULOSAARI,60.1853879,25.0096847
16,Helsinki/Kami,24,KUMPULA,60.2040009,24.9581075
17,Helsinki/Kami,56,SALMENKALLIO,60.244024,25.1574065
18,Helsinki/Kami,33,KAARELA,60.25193055,24.8730778298512
19,Helsinki/Kami,03,KAARTINKAUPUNKI,60.1652138,24.9472225
20,Helsinki/Kami,20,LÄNSISATAMA,60.1595545,24.9146468240679
21,Helsinki/Kami,52,SUOMENLINNA,60.1457064,24.9888603
22,Helsinki/Kami,12,ALPPIHARJU,60.189728,24.9441203
23,Helsinki/Kami,08,KATAJANOKKA,60.1669752,24.9681511
24,Helsinki/Kami,46,PITÄJÄNMÄKI,60.222711,24.8643556
25,Helsinki/Kami,31,LAUTTASAARI,60.1593692,24.8753044
26,Helsinki/Kami,37,PUKINMÄKI,60.245247,24.9896936
27,Helsinki/Kami,59,ULTUNA,60.2713667,25.202134
28,Helsinki/Kami,18,LAAKSO,60.1940859,24.9191674
29,Helsinki/Kami,48,VARTIOSAARI,60.1842356,25.0769141
30,Helsinki/Kami,25,KÄPYLÄ,60.2156842,24.9527864
31,Helsinki/Kami,05,PUNAVUORI,60.1612371,24.9365046
32,Helsinki/Kami,26,KOSKELA,60.2187652,24.9682441
33,Helsinki/Kami,19,MUSTIKKAMAA-KORKEASAARI,60.1768926,24.99019379294
34,Helsinki/Kami,13,ETU-TÖÖLÖ,60.1740311,24.9223027
35,Helsinki/Kami,09,KAIVOPUISTO,60.1568425,24.9567212
36,Helsinki/Kami,49,LAAJASALO,60.1732049,25.0449197
37,Helsinki/Kami,44,TAMMISALO,60.1914529,25.0592919
38,Helsinki/Kami,40,SUUTARILA,60.283019,25.0064817
39,Helsinki/Kami,51,SANTAHAMINA,60.1524761,25.049372
40,Helsinki/Kami,02,KLUUVI,60.1707783,24.9473293
41,Helsinki/Kami,53,ULKOSAARET,60.101523,25.050689
42,Helsinki/Kami,50,VILLINKI,60.1619903,25.1289661549128
43,Helsinki/Kami,36,VIIKKI,60.225892,25.0222642
44,Helsinki/Kami,14,TAKA-TÖÖLÖ,60.1853441,24.9167329
45,Helsinki/Kami,29,HAAGA,60.2189789,24.8976472293573
46,Helsinki/Kami,01,KRUUNUNHAKA,60.1728702,24.9547326
47,Helsinki/Kami,54,VUOSAARI,60.2083483,25.1435537
48,Helsinki/Kami,11,KALLIO,60.1839816,24.9524515
49,Helsinki/Kami,45,VARTIOKYLÄ,60.2119555,25.0814407023908
50,Helsinki/Kami,38,MALMI,60.2507611,25.0085738
51,Helsinki/Kami,41,SUURMETSÄ,60.2675853,25.061563
52,Helsinki/Kami,39,TAPANINKYLÄ,60.2611783,25.0109853
53,Helsinki/Kami,17,PASILA,60.197873,24.9322653
54,Helsinki/Kami,28,OULUNKYLÄ,60.2294429,24.9635828
55,Helsinki/Kami,04,KAMPPI,60.1685348,24.9304942
56,Helsinki/Kami,23,TOUKOLA,60.2088357,24.9725649
57,Helsinki/Kami,57,TALOSAARI,60.2436241,25.2015583
58,Helsinki/Kami,06,EIRA,60.1561911,24.9383747
59,Helsinki/Kami,32,KONALA,60.2385504,24.8460646
