,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,MEILAHTI,60.1913479,24.9026643,Bon Temps Café,60.1934,24.9062,Coffee Shop
1,MEILAHTI,60.1913479,24.9026643,UniSport,60.1899637476198,24.897267950415795,Gym / Fitness Center
2,MEILAHTI,60.1913479,24.9026643,Mullikka,60.19325959793035,24.907090266950963,Bar
3,MEILAHTI,60.1913479,24.9026643,Meilahden liikuntakeskus,60.19000299566006,24.897142388783024,Gym / Fitness Center
4,MEILAHTI,60.1913479,24.9026643,Meilahden frisbeegolfrata,60.19048912712619,24.897612905884806,Disc Golf
5,MEILAHTI,60.1913479,24.9026643,Tenniskentät,60.18997531090818,24.897227318164223,Tennis Court
6,MEILAHTI,60.1913479,24.9026643,Gottland Deli & Café,60.19225705866948,24.9069562532538,Café
7,MEILAHTI,60.1913479,24.9026643,Meilahden pronssikautinen hauta,60.18718061968062,24.904146155909977,Historic Site
8,MEILAHTI,60.1913479,24.9026643,Bar 36,60.19515591722603,24.899669520945476,Bar
9,MEILAHTI,60.1913479,24.9026643,Hot Gym Kino,60.191915673617636,24.910076945755968,Gym
10,MEILAHTI,60.1913479,24.9026643,Subway,60.19221001659838,24.90977962442164,Sandwich Place
11,MEILAHTI,60.1913479,24.9026643,White Lady,60.195130319852645,24.90286209475279,Scandinavian Restaurant
12,MEILAHTI,60.1913479,24.9026643,Wrap and Roll,60.19363866081882,24.90621863707112,Vietnamese Restaurant
13,MEILAHTI,60.1913479,24.9026643,HSL 1383 Mäntytie,60.19135821174695,24.901087354057747,Bus Stop
14,MEILAHTI,60.1913479,24.9026643,R-Kioski,60.1912485978472,24.90689278429781,Convenience Store
15,MEILAHTI,60.1913479,24.9026643,Meilahden sairaalan kahvio,60.18855189093283,24.905996133214625,Café
16,MEILAHTI,60.1913479,24.9026643,Tukholmanpuisto,60.19117152023238,24.90783985781835,Park
17,MEILAHTI,60.1913479,24.9026643,Viialan Kotileipomo,60.19354451666666,24.90626,Bakery
18,MEILAHTI,60.1913479,24.9026643,HSL 1920 Kuusitie,60.19480944873957,24.902470306121486,Bus Stop
19,MEILAHTI,60.1913479,24.9026643,HSL 1922 Kuusitie,60.19489951075115,24.9021983711746,Bus Stop
20,MEILAHTI,60.1913479,24.9026643,HSL 0138 Kuusitie,60.19504611092057,24.902187426981065,Tram Station
21,MEILAHTI,60.1913479,24.9026643,S-market,60.19092791079903,24.911631178424777,Supermarket
22,MEILAHTI,60.1913479,24.9026643,HSL 0118 Meilahdentie,60.1932892178045,24.894670140437448,Tram Station
23,HERTTONIEMI,60.195524600000006,25.0290632,K-Supermarket Hertta,60.19434376475261,25.02923123538494,Supermarket
24,HERTTONIEMI,60.195524600000006,25.0290632,Treffi Pub & Bistro,60.19531370803665,25.030700331553817,Gastropub
25,HERTTONIEMI,60.195524600000006,25.0290632,Blancco,60.194853335590956,25.03071970668502,Kebab Restaurant
26,HERTTONIEMI,60.195524600000006,25.0290632,Forever Herttoniemi,60.19275561101889,25.02904006453764,Gym / Fitness Center
27,HERTTONIEMI,60.195524600000006,25.0290632,Helsinki SportsClub,60.19285593962552,25.02838418329097,Gym / Fitness Center
28,HERTTONIEMI,60.195524600000006,25.0290632,Herttoniemen siirtolapuutarha,60.19324270646442,25.022344850124345,Garden
29,HERTTONIEMI,60.195524600000006,25.0290632,ELIXIA Megahertsi,60.193994,25.034028,Gym / Fitness Center
30,HERTTONIEMI,60.195524600000006,25.0290632,Hanko Sushi,60.1928113458561,25.02939163493572,Sushi Restaurant
31,HERTTONIEMI,60.195524600000006,25.0290632,Posti Herttoniemi,60.19353404211047,25.035512350683213,Post Office
32,HERTTONIEMI,60.195524600000006,25.0290632,R-kioski,60.19472236235529,25.031286051248387,Convenience Store
33,HERTTONIEMI,60.195524600000006,25.0290632,Alepa,60.1949124577043,25.03101466655083,Grocery Store
34,HERTTONIEMI,60.195524600000006,25.0290632,S-market,60.19344,25.03156,Supermarket
35,HERTTONIEMI,60.195524600000006,25.0290632,Gurkha,60.19493,25.02867,Himalayan Restaurant
36,HERTTONIEMI,60.195524600000006,25.0290632,Subway,60.19396406730335,25.034723612262766,Sandwich Place
37,HERTTONIEMI,60.195524600000006,25.0290632,Tokmanni,60.1941120925678,25.03382280037304,Discount Store
38,HERTTONIEMI,60.195524600000006,25.0290632,Forenom House Helsinki,60.19280854792873,25.0293434286575,Hotel
39,HERTTONIEMI,60.195524600000006,25.0290632,Herttoniemen liikenneympyrä,60.19479704323304,25.0308211673436,Intersection
40,HERTTONIEMI,60.195524600000006,25.0290632,Cafe Hertta,60.194677,25.026716,Café
41,HERTTONIEMI,60.195524600000006,25.0290632,HSL 4044 Herttoniemi (M),60.19482383466008,25.031402817935007,Bus Stop
42,HERTTONIEMI,60.195524600000006,25.0290632,"HSL 4045 Herttoniemi (M), laituri 5",60.19461003350067,25.031028742613984,Bus Stop
43,HERTTONIEMI,60.195524600000006,25.0290632,Wang Him,60.194732,25.028525,Chinese Restaurant
44,HERTTONIEMI,60.195524600000006,25.0290632,"HSL 4043 Herttoniemi (M), Laituri 3",60.19498543372867,25.03147615942598,Bus Stop
45,HERTTONIEMI,60.195524600000006,25.0290632,HSL H4042 Herttoniemi(M),60.19514313802358,25.031834863111513,Bus Stop
46,HERTTONIEMI,60.195524600000006,25.0290632,"HSL 4050 Herttoniemi(M), tulo",60.19517761287106,25.030918029673714,Bus Stop
47,HERTTONIEMI,60.195524600000006,25.0290632,Kipparlahden apteekki,60.19242,25.03057,Pharmacy
48,HERTTONIEMI,60.195524600000006,25.0290632,Halti Outlet,60.19316,25.03024,Outlet Store
49,HERTTONIEMI,60.195524600000006,25.0290632,Asian kitchen urban lights,60.193983,25.033477,Asian Restaurant
50,HERTTONIEMI,60.195524600000006,25.0290632,It's Yoga Helsinki - Herttoniemi,60.19391239059282,25.034729339110758,Yoga Studio
51,HERTTONIEMI,60.195524600000006,25.0290632,FilmTown,60.192024756152264,25.026757393768044,Video Store
52,HERTTONIEMI,60.195524600000006,25.0290632,HSL 4005 Kipparlahti,60.19212,25.02393,Bus Stop
53,HERTTONIEMI,60.195524600000006,25.0290632,R-kioski,60.191886558293334,25.034327743969147,Convenience Store
54,SÖRNÄINEN,60.1838848,24.9644087,Onda,60.183989,24.959958,South American Restaurant
55,SÖRNÄINEN,60.1838848,24.9644087,Lie Mi,60.18594492358254,24.961501718946447,Vietnamese Restaurant
56,SÖRNÄINEN,60.1838848,24.9644087,Merikerho,60.182371713683125,24.963637665799173,Bar
57,SÖRNÄINEN,60.1838848,24.9644087,Tanner,60.183198283888096,24.95863904544892,Italian Restaurant
58,SÖRNÄINEN,60.1838848,24.9644087,CrossFit Sörnäinen | Wolverine Helsinki,60.185219360685736,24.96309714201275,Recreation Center
59,SÖRNÄINEN,60.1838848,24.9644087,Lintulahdenaukio,60.18502139759549,24.961920610341775,Plaza
60,SÖRNÄINEN,60.1838848,24.9644087,Siltanen,60.18424733568201,24.96036395915457,Bar
61,SÖRNÄINEN,60.1838848,24.9644087,Kaiku,60.18356288155769,24.959921204901214,Nightclub
62,SÖRNÄINEN,60.1838848,24.9644087,Combat Academy of Finland,60.186529272928354,24.967786193783823,Martial Arts Dojo
63,SÖRNÄINEN,60.1838848,24.9644087,Moko Market,60.186377,24.967155,Café
64,SÖRNÄINEN,60.1838848,24.9644087,Fafa's,60.187027650496084,24.966097738829287,Falafel Restaurant
65,SÖRNÄINEN,60.1838848,24.9644087,Beerger,60.18457981065682,24.96040711737439,Burger Joint
66,SÖRNÄINEN,60.1838848,24.9644087,Vegekauppa,60.186694,24.961015,Organic Grocery
67,SÖRNÄINEN,60.1838848,24.9644087,Katri Valan puisto,60.186483798721895,24.964008742262262,Park
68,SÖRNÄINEN,60.1838848,24.9644087,Ravintola Mäkikupla,60.18604192917485,24.960435095167746,Pizza Place
69,SÖRNÄINEN,60.1838848,24.9644087,Thai Street Food,60.18747481254459,24.964772708399444,Thai Restaurant
70,SÖRNÄINEN,60.1838848,24.9644087,Etnofitness,60.18650238415011,24.966892447253738,Dance Studio
71,SÖRNÄINEN,60.1838848,24.9644087,Suvilahti,60.18601666557409,24.971543587486025,Event Space
72,SÖRNÄINEN,60.1838848,24.9644087,Via Tribunali,60.187889,24.963749,Pizza Place
73,SÖRNÄINEN,60.1838848,24.9644087,The Bull and the Firm,60.188338,24.964497,Cocktail Bar
74,SÖRNÄINEN,60.1838848,24.9644087,Poompui B’Staurant,60.183256608374386,24.95811984003035,Thai Restaurant
75,SÖRNÄINEN,60.1838848,24.9644087,Social Burgerjoint,60.18833320352287,24.964473580941878,Burger Joint
76,SÖRNÄINEN,60.1838848,24.9644087,Sörkan Ruusu,60.18807774212959,24.965998468598652,Beer Bar
77,SÖRNÄINEN,60.1838848,24.9644087,Kattilahalli,60.18684123160924,24.969977386036923,Event Space
78,SÖRNÄINEN,60.1838848,24.9644087,Marian Konditoria,60.18769105992827,24.960914387401232,Bakery
79,SÖRNÄINEN,60.1838848,24.9644087,Efes Bar,60.18763717366765,24.96088579312013,Bar
80,SÖRNÄINEN,60.1838848,24.9644087,Merihaan Pallohalli,60.179569701368145,24.962554060950872,Recreation Center
81,SÖRNÄINEN,60.1838848,24.9644087,Pannukakunpuistikko,60.1810721461795,24.96178192395766,Park
82,SÖRNÄINEN,60.1838848,24.9644087,Voimalaitos Merihaka,60.17953524979147,24.9629545211792,Gym / Fitness Center
